TipoBusca,Fase,N,AlvoPos,Tempo(s),Comparacoes,Encontrado
Sequencial,Desordenado,50,0,0.000000000,1,Sim
HashDuplo,Desordenado,50,0,0.000000000,1,Sim
Sequencial,Desordenado,50,1,0.000000000,26,Sim
HashDuplo,Desordenado,50,1,0.000000000,1,Sim
Sequencial,Desordenado,50,2,0.000000000,50,Sim
HashDuplo,Desordenado,50,2,0.000000000,7,Sim
Sequencial,Ordenado_Crescente,50,0,0.000000000,44,Sim
Binaria,Ordenado_Crescente,50,0,0.000000000,3,Sim
HashDuplo,Ordenado_Crescente,50,0,0.000000000,3,Sim
Sequencial,Ordenado_Crescente,50,1,0.000000000,38,Sim
Binaria,Ordenado_Crescente,50,1,0.000000000,2,Sim
HashDuplo,Ordenado_Crescente,50,1,0.000000000,2,Sim
Sequencial,Ordenado_Crescente,50,2,0.000000000,17,Sim
Binaria,Ordenado_Crescente,50,2,0.000000000,6,Sim
HashDuplo,Ordenado_Crescente,50,2,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,50,0,0.000000000,7,Sim
HashDuplo,Ordenado_Decrescente,50,0,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,50,1,0.000000000,13,Sim
HashDuplo,Ordenado_Decrescente,50,1,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,50,2,0.000000000,34,Sim
HashDuplo,Ordenado_Decrescente,50,2,0.000000000,4,Sim
Sequencial,Desordenado,100,0,0.000000000,1,Sim
HashDuplo,Desordenado,100,0,0.000000000,1,Sim
Sequencial,Desordenado,100,1,0.000000000,51,Sim
HashDuplo,Desordenado,100,1,0.000000000,1,Sim
Sequencial,Desordenado,100,2,0.000000000,100,Sim
HashDuplo,Desordenado,100,2,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,100,0,0.000000000,65,Sim
Binaria,Ordenado_Crescente,100,0,0.000000000,5,Sim
HashDuplo,Ordenado_Crescente,100,0,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,100,1,0.000000000,52,Sim
Binaria,Ordenado_Crescente,100,1,0.000000000,7,Sim
HashDuplo,Ordenado_Crescente,100,1,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,100,2,0.000000000,60,Sim
Binaria,Ordenado_Crescente,100,2,0.000000000,6,Sim
HashDuplo,Ordenado_Crescente,100,2,0.000000000,2,Sim
Sequencial,Ordenado_Decrescente,100,0,0.000000000,36,Sim
HashDuplo,Ordenado_Decrescente,100,0,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,100,1,0.000000000,49,Sim
HashDuplo,Ordenado_Decrescente,100,1,0.000000000,2,Sim
Sequencial,Ordenado_Decrescente,100,2,0.000000000,41,Sim
HashDuplo,Ordenado_Decrescente,100,2,0.000000000,1,Sim
Sequencial,Desordenado,150,0,0.000000000,1,Sim
HashDuplo,Desordenado,150,0,0.000000000,1,Sim
Sequencial,Desordenado,150,1,0.000000000,76,Sim
HashDuplo,Desordenado,150,1,0.000000000,2,Sim
Sequencial,Desordenado,150,2,0.000000000,150,Sim
HashDuplo,Desordenado,150,2,0.000000000,2,Sim
Sequencial,Ordenado_Crescente,150,0,0.000000000,75,Sim
Binaria,Ordenado_Crescente,150,0,0.000000000,1,Sim
HashDuplo,Ordenado_Crescente,150,0,0.000000000,2,Sim
Sequencial,Ordenado_Crescente,150,1,0.000000000,95,Sim
Binaria,Ordenado_Crescente,150,1,0.000000000,7,Sim
HashDuplo,Ordenado_Crescente,150,1,0.000000000,2,Sim
Sequencial,Ordenado_Crescente,150,2,0.000000000,121,Sim
Binaria,Ordenado_Crescente,150,2,0.000000000,8,Sim
HashDuplo,Ordenado_Crescente,150,2,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,150,0,0.000000000,76,Sim
HashDuplo,Ordenado_Decrescente,150,0,0.000000000,3,Sim
Sequencial,Ordenado_Decrescente,150,1,0.000000000,56,Sim
HashDuplo,Ordenado_Decrescente,150,1,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,150,2,0.000000000,30,Sim
HashDuplo,Ordenado_Decrescente,150,2,0.000000000,1,Sim
Sequencial,Desordenado,200,0,0.000000000,1,Sim
HashDuplo,Desordenado,200,0,0.000000000,1,Sim
Sequencial,Desordenado,200,1,0.000000000,101,Sim
HashDuplo,Desordenado,200,1,0.000000000,1,Sim
Sequencial,Desordenado,200,2,0.000000000,200,Sim
HashDuplo,Desordenado,200,2,0.000000000,3,Sim
Sequencial,Ordenado_Crescente,200,0,0.000000000,91,Sim
Binaria,Ordenado_Crescente,200,0,0.000000000,7,Sim
HashDuplo,Ordenado_Crescente,200,0,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,200,1,0.000000000,175,Sim
Binaria,Ordenado_Crescente,200,1,0.000000000,3,Sim
HashDuplo,Ordenado_Crescente,200,1,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,200,2,0.000000000,142,Sim
Binaria,Ordenado_Crescente,200,2,0.000000000,8,Sim
HashDuplo,Ordenado_Crescente,200,2,0.000000000,3,Sim
Sequencial,Ordenado_Decrescente,200,0,0.000000000,110,Sim
HashDuplo,Ordenado_Decrescente,200,0,0.000000000,2,Sim
Sequencial,Ordenado_Decrescente,200,1,0.000000000,26,Sim
HashDuplo,Ordenado_Decrescente,200,1,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,200,2,0.000000000,59,Sim
HashDuplo,Ordenado_Decrescente,200,2,0.000000000,2,Sim
Sequencial,Desordenado,250,0,0.000000000,1,Sim
HashDuplo,Desordenado,250,0,0.000000000,1,Sim
Sequencial,Desordenado,250,1,0.000000000,126,Sim
HashDuplo,Desordenado,250,1,0.000000000,2,Sim
Sequencial,Desordenado,250,2,0.000000000,250,Sim
HashDuplo,Desordenado,250,2,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,250,0,0.000000000,126,Sim
Binaria,Ordenado_Crescente,250,0,0.000000000,7,Sim
HashDuplo,Ordenado_Crescente,250,0,0.000000000,2,Sim
Sequencial,Ordenado_Crescente,250,1,0.000000000,62,Sim
Binaria,Ordenado_Crescente,250,1,0.000000000,2,Sim
HashDuplo,Ordenado_Crescente,250,1,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,250,2,0.000000000,74,Sim
Binaria,Ordenado_Crescente,250,2,0.000000000,8,Sim
HashDuplo,Ordenado_Crescente,250,2,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,250,0,0.000000000,125,Sim
HashDuplo,Ordenado_Decrescente,250,0,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,250,1,0.000000000,189,Sim
HashDuplo,Ordenado_Decrescente,250,1,0.000000000,2,Sim
Sequencial,Ordenado_Decrescente,250,2,0.000000000,177,Sim
HashDuplo,Ordenado_Decrescente,250,2,0.000000000,1,Sim
Sequencial,Desordenado,310,0,0.000000000,1,Sim
HashDuplo,Desordenado,310,0,0.000000000,1,Sim
Sequencial,Desordenado,310,1,0.000000000,156,Sim
HashDuplo,Desordenado,310,1,0.001000000,2,Sim
Sequencial,Desordenado,310,2,0.000000000,310,Sim
HashDuplo,Desordenado,310,2,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,310,0,0.000000000,173,Sim
Binaria,Ordenado_Crescente,310,0,0.000000000,9,Sim
HashDuplo,Ordenado_Crescente,310,0,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,310,1,0.000000000,199,Sim
Binaria,Ordenado_Crescente,310,1,0.000000000,8,Sim
HashDuplo,Ordenado_Crescente,310,1,0.000000000,1,Sim
Sequencial,Ordenado_Crescente,310,2,0.000000000,10,Sim
Binaria,Ordenado_Crescente,310,2,0.000000000,8,Sim
HashDuplo,Ordenado_Crescente,310,2,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,310,0,0.000000000,138,Sim
HashDuplo,Ordenado_Decrescente,310,0,0.000000000,2,Sim
Sequencial,Ordenado_Decrescente,310,1,0.000000000,112,Sim
HashDuplo,Ordenado_Decrescente,310,1,0.000000000,1,Sim
Sequencial,Ordenado_Decrescente,310,2,0.000000000,301,Sim
HashDuplo,Ordenado_Decrescente,310,2,0.000000000,1,Sim
